Training Statistics for AE_allbus
==================================================

Episode   84: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   84: Loss=  0.0034, Violations=   0, Proj=   0, Fallback=   0
Episode   84: Loss=  0.0032, Violations=   0, Proj=   0, Fallback=   0
Episode   85: Loss=  0.0030, Violations=   0, Proj=   0, Fallback=   0
Episode   85: Loss=  0.0026, Violations=   0, Proj=   0, Fallback=   0
Episode   85: Loss=  0.0023, Violations=   0, Proj=   0, Fallback=   0
Episode   85: Loss=  0.0019, Violations=   0, Proj=   0, Fallback=   0
Episode   86: Loss=  0.0015, Violations=   0, Proj=   0, Fallback=   0
Episode   86: Loss=  0.0010, Violations=   0, Proj=   0, Fallback=   0
Episode   86: Loss=  0.0007, Violations=   0, Proj=   0, Fallback=   0
Episode   86: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
Episode   87: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode   87: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode   87: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   87: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   88: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   88: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   88: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   88: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   89: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   89: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   89: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   89: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   90: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   90: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   90: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   90: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   91: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
